Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-02-10 00:00:00,BOYT1,NO.563.d,53.2136,27.343599,4.9053,2.9647,0.7334,2.277,0.0992,0.8252,0.323,0.3254,0.0518,0.0028,0.008,7.66,11.63,54.049999,24.31,145,295,112.0,7.5,15.21
2019-02-10 00:00:00,ESP2,NO.563.d,58.937,23.689899,4.8652,3.1855,0.7982,2.3209,0.0872,0.7699,0.299,0.3565,0.0567,0.0006,0.0074,4.26,1.27,51.080002,27.379999,126,257,105.0,12.38,25.360001
2019-02-11 00:00:00,BOYT1,NO.630.d,51.9899,26.4627,4.9152,2.8686,0.7737,2.2576,0.0792,0.8225,0.3248,0.2884,0.0562,0.0041,0.0085,9.28,12.32,52.16,24.77,165,255,108.0,8.56,16.4
2019-02-12 00:00:00,ESP2,NO.630.d,58.705502,23.3999,4.9,3.1593,0.7923,2.3101,0.1257,0.7675,0.2995,0.3424,0.0599,-0.0017,0.0074,4.01,1.12,50.41,26.459999,125,195,112.0,13.18,27.38
2019-02-13 00:00:00,BOYT1,NO.630.d,52.049198,25.865801,4.8995,2.8836,0.7066,2.2563,0.0772,0.7853,0.3143,0.2988,0.0547,0.0096,0.0076,8.92,12.72,52.700001,24.92,151,275,105.0,6.58,14.64
2019-02-13 00:00:00,ESP+,NO.630.d,61.6342,23.466499,4.8974,3.2978,0.7932,2.3881,0.0971,0.6959,0.2979,0.3489,0.0605,0.0036,0.0068,1.56,0.71,50.0,25.690001,115,185,108.0,15.22,27.870001
2019-02-14 00:00:00,BOYT1,NO.563.d,50.729599,26.079599,4.8776,2.792,0.6632,2.0933,0.0801,0.794,0.3092,0.2768,0.0503,0.0084,0.0072,10.5,14.32,54.049999,24.92,170,267,108.0,6.3,11.98
2019-02-14 00:00:00,ESP+,NO.563.d,63.6807,22.563499,4.7881,2.9993,0.7143,2.2949,0.0795,0.6884,0.2789,0.3012,0.0532,-0.0011,0.0085,1.74,1.16,50.0,25.85,106,186,106.0,14.82,29.059999
2019-02-15 00:00:00,ESP+,NO.630.d,61.826599,23.4566,4.943,3.3108,0.8023,2.4792,0.0562,0.6973,0.2964,0.3447,0.061,0.0008,0.0067,1.61,0.71,50.490002,26.15,110,225,110.0,14.99,27.01
2019-02-15 00:00:00,ESP2,NO.561.d,60.429501,22.7686,5.0796,3.2232,0.7712,2.4069,0.0736,0.8056,0.3035,0.3379,0.0581,0.0029,0.0073,3.92,2.77,51.889999,27.85,93,198,110.0,12.97,28.120001
